gene,method,wv,rmse,region,r2,mae
phoa,mi,548.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,549.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,436.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,554.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,428.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,559.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,440.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,547.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,544.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,572.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,577.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,555.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,437.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,429.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,416.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,562.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,568.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,417.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,419.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,561.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,553.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,418.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,552.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,427.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,557.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,560.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,567.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,426.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,421.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,566.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,558.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,420.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,423.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,422.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,425.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,424.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,564.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,563.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,mi,565.0,-0.993940214119548,vis,0.10916993884750303,0.7730893538105561
phoa,coeffs,435.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,506.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,631.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,482.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,658.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,401.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,623.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,596.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,402.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,465.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,437.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,606.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,537.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,597.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,683.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,499.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,551.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,443.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,577.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,682.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,560.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,501.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,500.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,535.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,602.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,627.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,436.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,536.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,502.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,438.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,542.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,564.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,565.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,512.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,439.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,566.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,444.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,400.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,532.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,442.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,613.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,616.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,614.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,463.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,586.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,626.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,612.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,601.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,590.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,617.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,544.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,621.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,594.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,603.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,619.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,585.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,574.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,543.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,598.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,615.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,592.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,620.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,599.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,coeffs,624.0,-0.9420920020567267,vis,0.19968496976232486,0.7218846081992816
phoa,ga,401.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,408.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,419.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,432.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,442.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,456.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,457.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,459.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,465.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,474.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,477.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,482.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,487.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,491.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,492.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,494.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,500.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,501.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
phoa,ga,502.0,-0.951869020664681,vis,0.18298745568275265,0.7279205471559893
