Sample,TRT,Block,Irrigation,Inoculation,Resistance,Bact_g,CBBLR_g,Fungi_g,phoA_g,ureC_g,Mean350_2500,Mean560,Mean668,Mean840,Mean1450,Log16S,Logcbblr,Log18S,Logphoa,Logurec,Ratiocbblr,Ratiofungi,Ratiophoa,Ratiourec,SMC92DAS,Chl92DAS,Flav92DAS,Anth92DAS,NBI92DAS,gs92DAS,E92DAS,Fs92DAS,Fm92DAS,Photo92DAS,ETR92DAS,AirT92DAS,LeafT92DAS,CTD92DAS,Plantheightcm,Boll,Leafdrywt ,Stemdrywt,squareBolldrywt,Shootdryweight 
57,222,8,Half,Cont,Susc,1.93E+09,2.09E+08,9.07E+05,3.07E+04,4.95E+05,32.86365094,20.7511,5.93484,63.88318,19.5107,9.285041935,8.319534332,5.957459603,4.487434015,5.694465273,1.08E-01,4.70E-04,1.59E-05,2.56E-04,0.155,15.934,1.31,0.218,12.17,0.109676,2.552793,131.757263,231.294754,0.430349,166.453278,31.14,30.31,0.83,39,1,4.51,3.37,1.09,8.97
58,122,8,Full,Cont,Susc,8.71E+08,2.71E+07,7.12E+05,5.19E+03,9.87E+04,32.78682556,22.70342,6.4549,62.45412,19.2815,8.939811518,7.432832648,5.85242179,3.715521003,4.994245309,3.11E-02,8.17E-04,5.96E-06,1.13E-04,0.186,18.378,1.225,0.186,15.01,0.72281,9.652135,149.441605,287.315369,0.479869,134.364685,30.58,28.1,2.48,72,2,4.45,4.16,6.64,15.25
59,221,8,Half,Cont,Res,3.29E+09,3.30E+08,9.79E+06,2.11E+04,8.79E+05,30.99086873,18.94836,5.5521,60.63018,18.45354,9.516771641,8.518823512,6.990892894,4.3247445,5.943979978,1.00E-01,2.98E-03,6.41E-06,2.67E-04,0.056,20.473,1.166,0.185,17.56,0.329295,6.494848,201.142426,301.604401,0.333092,168.159821,30.45,29.68,0.77,43,1,3.34,3.67,1.88,8.89
60,121,8,Full,Cont,Res,1.82E+09,8.12E+07,6.17E+05,3.05E+04,3.98E+05,32.18162879,20.59532,6.75398,61.5453,16.03384,9.260403122,7.909481704,5.789999575,4.484855403,5.599876815,4.46E-02,3.39E-04,1.68E-05,2.19E-04,0.229,17.66,1.274,0.199,13.86,0.619713,10.694365,238.016724,333.54306,0.286399,182.864166,30.44,29.82,0.62,64,3,3.99,4.19,7.82,16
61,212,8,Half,Inoc,Susc,2.03E+09,1.12E+08,1.28E+06,4.93E+04,6.77E+05,28.47879217,17.85254,4.70986,55.72832,17.45402,9.307273909,8.048725837,6.108433559,4.692980744,5.83082658,5.52E-02,6.31E-04,2.43E-05,3.33E-04,0.125,13.06,1.361,0.262,9.59,0.132791,2.76311,148.807175,341.487061,0.564238,241.74704,30.41,29.26,1.15,37.5,0,2.86,2.76,0,5.62
62,111,8,Full,Inoc,Res,1.76E+09,1.39E+08,1.22E+06,5.84E+04,6.94E+05,32.49456157,21.9087,6.65422,61.83928,20.63464,9.244559341,8.142060033,6.087540921,4.766428462,5.841407147,7.90E-02,6.93E-04,3.32E-05,3.94E-04,0.169,26.876,1.204,0.157,22.32,0.734971,10.865737,215.508698,312.012085,0.309294,196.657211,30.39,28.85,1.54,34.5,2,4.24,4.66,9.66,18.56
63,211,8,Half,Inoc,Res,2.70E+09,3.91E+08,2.85E+06,2.93E+04,8.66E+05,26.45166488,14.70732,4.09096,52.74444,16.80874,9.430626111,8.592330093,6.454420426,4.467204733,5.937750491,1.45E-01,1.06E-03,1.09E-05,3.21E-04,0.166,22.957,1.209,0.157,18.98,0.28009,4.697937,141.500824,328.200806,0.568859,221.616089,30.38,28.09,2.29,45.5,0,2.61,3.59,0.69,6.89
64,112,8,Full,Inoc,Susc,1.92E+09,6.15E+07,1.92E+06,3.21E+04,4.96E+05,30.95209346,18.43366,5.59134,60.43412,20.20766,9.283982825,7.788908568,6.283733099,4.50661829,5.695577566,3.20E-02,1.00E-03,1.67E-05,2.58E-04,0.223,17.844,1.17,0.199,15.25,0.487725,8.407201,199.94902,275.349854,0.273836,154.578827,30.36,29.47,0.89,58.5,2,3.76,2.63,8.06,14.45
65,112,9,Full,Inoc,Susc,2.14E+09,1.42E+08,1.37E+06,1.02E+04,4.39E+05,30.63941146,19.38802,5.74196,59.38636,18.73032,9.330471819,8.152804983,6.135844989,4.010462603,5.642936202,6.64E-02,6.40E-04,4.77E-06,2.05E-04,0.105,10.313,1.285,0.272,8.02,0.155449,3.523125,144.377945,266.40451,0.45805,193.410141,30.36,30.5,-0.14,49,1,4.1,4,4.68,12.78
66,212,9,Half,Inoc,Susc,2.58E+09,2.32E+08,3.34E+06,1.43E+04,6.22E+05,31.26022578,19.8475,6.28048,60.21642,19.49656,9.411348275,8.364939386,6.523845247,4.155993083,5.794043559,8.99E-02,1.29E-03,5.54E-06,2.41E-04,0.245,12.019,1.375,0.251,8.74,0.561071,8.916713,94.170929,240.588425,0.608581,298.640198,31.05,29.37,1.68,58,1,4.86,4.61,3.62,13.09
67,111,9,Full,Inoc,Res,1.89E+09,1.91E+08,1.04E+06,1.27E+04,3.49E+05,29.17607892,19.2733,5.42626,56.23196,17.59866,9.275376053,8.280977128,6.015919919,4.105098711,5.542809648,1.01E-01,5.50E-04,6.72E-06,1.85E-04,0.062,22.481,1.389,0.183,16.18,0.125239,3.271585,259.891022,353.541962,0.264893,164.208496,30.4,31.85,-1.45,55.5,2,2.81,4.36,4.91,12.08
68,211,9,Half,Inoc,Res,1.59E+09,9.99E+07,8.54E+05,2.31E+04,2.58E+05,30.23045853,18.22018,6.00008,58.65032,16.6922,9.202179694,7.999514262,5.931442272,4.364155321,5.411511708,6.28E-02,5.37E-04,1.45E-05,1.62E-04,0.114,20.431,1.328,0.186,15.38,0.727211,10.846868,224.259491,301.487793,0.256157,160.947388,30.41,29.34,1.07,62.5,2,3.83,5.08,6.45,15.36
69,122,9,Full,Cont,Susc,2.28E+09,2.35E+08,2.04E+06,2.82E+04,7.90E+05,29.65089644,17.9638,5.19562,58.07938,17.56612,9.358483024,8.371877273,6.310647788,4.450797037,5.897673635,1.03E-01,8.95E-04,1.24E-05,3.46E-04,0.105,14.406,1.322,0.222,10.9,0.17758,4.26669,213.534241,328.294861,0.349566,163.798355,31.06,31.31,-0.25,49.5,2,5.02,4.83,9.76,19.61
